Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,FlowerColour,YearCollected,MonthCollected,StigmaLegnth,Species
1,5.1,3.5,1.4,0.2,Purple,2003,2,2,Iris-setosa
2,4.9,3,1.4,0.2,Orange,1998,9,1,Iris-setosa
3,4.7,3.2,1.3,0.2,Black,1995,5,3,Iris-setosa
4,4.6,3.1,1.5,0.2,White,2008,3,3,Iris-setosa
5,5,3.6,1.4,0.2,Teal,2007,9,1,Iris-setosa
6,5.4,3.9,1.7,0.4,Navy,2008,1,1,Iris-setosa
7,4.6,3.4,1.4,0.3,Pink,1995,12,3,Iris-setosa
8,5,3.4,1.5,0.2,Yellow,1995,12,3,Iris-setosa
9,4.4,2.9,1.4,0.2,Blue,1998,9,3,Iris-setosa
10,4.9,3.1,1.5,0.1,Violet,2009,1,2,Iris-setosa
11,5.4,3.7,1.5,0.2,Gray,2000,4,1,Iris-setosa
12,4.8,3.4,1.6,0.2,Teal,2004,10,4,Iris-setosa
13,4.8,3,1.4,0.1,Gray,2001,8,4,Iris-setosa
14,4.3,3,1.1,0.1,Brown,2010,5,3,Iris-setosa
15,5.8,4,1.2,0.2,White,2007,11,1,Iris-setosa
16,5.7,4.4,1.5,0.4,Pink,2007,2,1,Iris-setosa
17,5.4,3.9,1.3,0.4,Black,2005,7,4,Iris-setosa
18,5.1,3.5,1.4,0.3,Orange,2009,12,3,Iris-setosa
19,5.7,3.8,1.7,0.3,Gray,1999,5,2,Iris-setosa
20,5.1,3.8,1.5,0.3,Green,2003,11,4,Iris-setosa
21,5.4,3.4,1.7,0.2,Lime,2002,7,2,Iris-setosa
22,5.1,3.7,1.5,0.4,Olive,2007,8,2,Iris-setosa
23,4.6,3.6,1,0.2,Red,1998,1,2,Iris-setosa
24,5.1,3.3,1.7,0.5,Navy,2005,12,3,Iris-setosa
25,4.8,3.4,1.9,0.2,Gold,2004,11,3,Iris-setosa
26,5,3,1.6,0.2,Orange,2004,11,1,Iris-setosa
27,5,3.4,1.6,0.4,Purple,2006,1,3,Iris-setosa
28,5.2,3.5,1.5,0.2,Navy,2006,12,3,Iris-setosa
29,5.2,3.4,1.4,0.2,Gold,2003,9,1,Iris-setosa
30,4.7,3.2,1.6,0.2,Yellow,2010,11,4,Iris-setosa
31,4.8,3.1,1.6,0.2,Pink,2005,3,4,Iris-setosa
32,5.4,3.4,1.5,0.4,Lime,2008,12,4,Iris-setosa
33,5.2,4.1,1.5,0.1,Pink,2006,9,3,Iris-setosa
34,5.5,4.2,1.4,0.2,Silver,1995,6,3,Iris-setosa
35,4.9,3.1,1.5,0.1,Navy,2009,3,4,Iris-setosa
36,5,3.2,1.2,0.2,Pink,1995,8,4,Iris-setosa
37,5.5,3.5,1.3,0.2,Violet,2006,5,3,Iris-setosa
38,4.9,3.1,1.5,0.1,Lime,1995,7,2,Iris-setosa
39,4.4,3,1.3,0.2,Yellow,2005,7,1,Iris-setosa
40,5.1,3.4,1.5,0.2,Black,2002,9,3,Iris-setosa
41,5,3.5,1.3,0.3,Teal,1998,2,4,Iris-setosa
42,4.5,2.3,1.3,0.3,Maroon,2005,5,2,Iris-setosa
43,4.4,3.2,1.3,0.2,Maroon,2000,6,1,Iris-setosa
44,5,3.5,1.6,0.6,Teal,2004,2,2,Iris-setosa
45,5.1,3.8,1.9,0.4,Olive,1995,8,2,Iris-setosa
46,4.8,3,1.4,0.3,Olive,1997,7,2,Iris-setosa
47,5.1,3.8,1.6,0.2,Aqua,2005,2,1,Iris-setosa
48,4.6,3.2,1.4,0.2,Maroon,2003,10,4,Iris-setosa
49,5.3,3.7,1.5,0.2,Yellow,2009,11,4,Iris-setosa
50,5,3.3,1.4,0.2,Red,1996,6,4,Iris-setosa
51,7,3.2,4.7,1.4,Maroon,2001,9,15,Iris-versicolor
52,6.4,3.2,4.5,1.5,Purple,2002,5,16,Iris-versicolor
53,6.9,3.1,4.9,1.5,Maroon,2000,5,16,Iris-versicolor
54,5.5,2.3,4,1.3,Green,2002,9,16,Iris-versicolor
55,6.5,2.8,4.6,1.5,Purple,2003,5,20,Iris-versicolor
56,5.7,2.8,4.5,1.3,Silver,2004,6,14,Iris-versicolor
57,6.3,3.3,4.7,1.6,Purple,2002,4,17,Iris-versicolor
58,4.9,2.4,3.3,1,Gold,2002,6,18,Iris-versicolor
59,6.6,2.9,4.6,1.3,Navy,2010,11,18,Iris-versicolor
60,5.2,2.7,3.9,1.4,Red,1999,4,14,Iris-versicolor
61,5,2,3.5,1,Aqua,2007,7,18,Iris-versicolor
62,5.9,3,4.2,1.5,Blue,2010,10,17,Iris-versicolor
63,6,2.2,4,1,Violet,2002,1,15,Iris-versicolor
64,6.1,2.9,4.7,1.4,Purple,2009,9,15,Iris-versicolor
65,5.6,2.9,3.6,1.3,Olive,1997,7,14,Iris-versicolor
66,6.7,3.1,4.4,1.4,Black,1997,3,17,Iris-versicolor
67,5.6,3,4.5,1.5,Purple,2009,12,17,Iris-versicolor
68,5.8,2.7,4.1,1,Blue,1997,7,19,Iris-versicolor
69,6.2,2.2,4.5,1.5,Orange,2009,2,15,Iris-versicolor
70,5.6,2.5,3.9,1.1,Violet,2000,1,14,Iris-versicolor
71,5.9,3.2,4.8,1.8,Aqua,2001,1,15,Iris-versicolor
72,6.1,2.8,4,1.3,Green,2005,6,14,Iris-versicolor
