,calories,carbo,sugars
0,70,5.0,6
1,120,8.0,8
2,70,7.0,5
3,50,8.0,0
4,110,14.0,8
5,110,10.5,10
6,110,11.0,14
7,130,18.0,8
8,90,15.0,6
9,90,13.0,5
10,120,12.0,12
11,110,17.0,1
12,120,13.0,9
13,110,13.0,7
14,110,12.0,13
15,110,22.0,3
16,100,21.0,2
17,110,13.0,12
18,110,12.0,13
19,110,10.0,7
20,100,21.0,0
21,110,21.0,3
22,100,11.0,10
23,100,18.0,5
24,110,11.0,13
25,110,14.0,11
26,100,14.0,7
27,120,12.0,10
28,120,14.0,12
29,110,13.0,12
30,100,11.0,15
31,110,15.0,9
32,100,15.0,5
33,110,17.0,3
34,120,13.0,4
35,120,12.0,11
36,110,11.5,10
37,110,14.0,11
38,110,17.0,6
39,140,20.0,9
40,110,21.0,3
41,100,12.0,6
42,110,12.0,12
43,100,16.0,3
44,150,16.0,11
45,150,16.0,11
46,160,17.0,13
47,100,15.0,6
48,120,15.0,9
49,140,21.0,7
50,90,18.0,2
51,130,13.5,10
52,120,11.0,14
53,100,20.0,3
54,50,13.0,0
55,50,10.0,0
56,100,14.0,6
57,100,-1.0,-1
58,120,14.0,12
59,100,10.5,8
60,90,15.0,6
61,110,23.0,2
62,110,22.0,3
63,80,16.0,0
64,90,19.0,0
65,90,20.0,0
66,110,9.0,15
67,110,16.0,3
68,90,15.0,5
69,110,21.0,3
70,140,15.0,14
71,100,16.0,3
72,110,21.0,3
73,110,13.0,12
74,100,17.0,3
75,100,17.0,3
76,110,16.0,8
